workerId,task,index,rt,binned,shape,vsup,V1,V2,V3,V4,V5,U1,U2,U3,U4,U5,meanV,meanU,stdV,stdU,condition
1,Two,1,26447,discrete,square,no,0.136392276,0.173910032,0.120601087,0.48710138,0.335658225,0.089212015,0.387565191,0.658076891,0.443318165,0.114977569,0.2507326,0.338629966,0.157315121,0.238553098,discretesquare
1,Two,2,11052,discrete,arc,yes,0.08219395,0.368423463,0.22559255,0.238570978,0.333096846,0.28450702,0.563407182,0.647730083,0.05828514,0.153843558,0.249575557,0.341554597,0.111594711,0.255779907,vsupdiscretearc
1,Two,3,7850,discrete,square,no,0.024218873,0.119718399,0.465407888,0.346944869,0.052405505,0.232481245,0.44641212,0.165712922,0.362077072,0.708833733,0.201739107,0.383103418,0.194388332,0.212424106,discretesquare
1,Two,4,8295,discrete,arc,yes,0.18821214,0.205336737,0.030474895,0.479064981,0.306065861,0.32971854,0.057314348,0.643332988,0.119715468,0.385278212,0.241830923,0.307071911,0.165290877,0.233013886,vsupdiscretearc
1,Two,5,10274,discrete,arc,yes,0.102381478,0.14383994,0.441660399,0.238267568,0.425576455,0.181822991,0.411934649,0.679057164,0.534317161,0.32731595,0.270345168,0.426889583,0.157074829,0.190607822,vsupdiscretearc
1,Two,6,11327,discrete,square,yes,0.022840986,0.310204424,0.037967725,0.280202361,0.189980047,0.261775665,0.544449432,0.533702669,0.126659558,0.095770401,0.168239109,0.312471545,0.133485801,0.21610906,vsupdiscretesquare
1,Two,7,9443,discrete,arc,no,0.124909242,0.220867565,0.121411331,0.308525449,0.189700692,0.304464357,0.13356423,0.591215442,0.190532524,0.861713967,0.193082856,0.416298104,0.077289829,0.305125668,discretearc
1,Two,8,6036,discrete,arc,yes,0.208909831,0.045719176,0.350167022,0.093935495,0.391894756,0.405020225,0.045196196,0.447385062,0.584734237,0.515774096,0.218125256,0.399621963,0.152366945,0.20957454,vsupdiscretearc
1,Two,9,7826,discrete,square,yes,0.123126003,0.082656608,0.209614488,0.389465548,0.489465386,0.380024474,0.097858929,0.680615432,0.647781889,0.277669479,0.258865607,0.416790041,0.174737751,0.24768143,vsupdiscretesquare
1,Two,10,3914,discrete,arc,no,0.175315878,0.009857886,0.292812809,0.108794371,0.010796727,0.414817107,0.173168708,0.931889096,0.781699136,0.677119134,0.119515534,0.595738636,0.119483415,0.302282636,discretearc
1,Two,11,5571,discrete,square,no,0.129529522,0.212101673,0.123962257,0.085034764,0.462918054,0.351824363,0.918706442,0.120124883,0.58890264,0.006673078,0.202709254,0.397246281,0.152643773,0.367443773,discretesquare
