WorkerId,Experiment,Education,Gender,GraphFamiliarity,Age,risk1,risk2,risk3,risk4,risk5,risk6,riskAversion
1,Exp2,College degree,Male,0,38,-2,6,6,7,7,6,30
2,Exp2,College degree,Female,2,54,5,3,2,2,-6,2,8
3,Exp2,Graduate degree,Female,2,33,-5,4,4,4,4,3,14
4,Exp2,Some college,Female,0,35,1,1,1,1,-6,3,1
5,Exp2,High school degree,Female,0,36,-1,6,7,7,7,6,32
6,Exp2,Graduate degree,Male,2,47,6,6,6,6,-3,4,25
7,Exp2,Graduate degree,Male,4,34,-7,6,4,6,6,2,17
8,Exp2,Some college,Female,2,63,-5,1,2,1,6,1,6
9,Exp2,College degree,Female,2,40,4,5,4,5,-6,3,15
10,Exp2,Some college,Female,2,37,5,6,7,3,-5,4,20
11,Exp2,High school degree,Male,1,30,6,7,6,6,-2,7,30
12,Exp2,College degree,Female,1,30,-1,6,6,7,7,7,32
13,Exp2,High school degree,Male,0,43,-6,3,3,6,5,3,14
14,Exp2,College degree,Female,2,36,2,6,2,4,-3,6,17
15,Exp2,Some college,Male,0,26,-4,6,4,7,7,4,24
16,Exp2,College degree,Male,2,41,2,5,5,4,-5,4,15
17,Exp2,College degree,Female,3,37,-2,5,6,6,5,5,25
18,Exp2,Some college,Female,3,32,6,4,5,5,-5,5,20
19,Exp2,College degree,Male,2,34,-7,2,2,2,2,2,3
20,Exp2,College degree,Male,0,25,-7,1,1,7,7,1,10
21,Exp2,College degree,Male,0,28,2,5,5,6,-3,6,21
22,Exp2,Some college,Female,2,54,-2,6,6,6,6,5,27
23,Exp2,Some college,Male,0,29,4,5,5,2,-6,1,11
24,Exp2,High school degree,Male,2,24,3,4,4,3,-4,5,15
